country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2023,zen-engineering-pvt-ltd,construction,linkedin.com/company/zen-engineering-pvt-ltd,,zen engineering (pvt) ltd,,10-Jan,
sri lanka,2023,a2m8-software,,linkedin.com/company/a2m8-software,colombo,a2m8 software,western,10-Jan,
sri lanka,2023,technoid-dev,higher education,linkedin.com/company/technoid-dev,colombo,technoid,western,10001+,
sri lanka,2023,lianos-co,,linkedin.com/company/lianos-co,colombo,lianos.co,western,10-Jan,
sri lanka,2023,targetz,,linkedin.com/company/targetz,,targetz,,10-Jan,
sri lanka,2023,sjitcloud,higher education,linkedin.com/company/sjitcloud,,saint joseph institute of technology,,10-Jan,sjit.cloud
sri lanka,2023,bigfix-lk,events services,linkedin.com/company/bigfix-lk,colombo,bigfix.lk,western,10-Jan,bigfix.lk
sri lanka,2023,arugs-software-solutions,,linkedin.com/company/arugs-software-solutions,colombo,argus software solutions,western,Nov-50,
sri lanka,2023,gamage-recruiters,staffing and recruiting,linkedin.com/company/gamage-recruiters,,gamage recruiters,,10-Jan,
sri lanka,2023,colombo-it-academy-private-limited,higher education,linkedin.com/company/colombo-it-academy-private-limited,colombo,colombo it academy (private) limited,western,10-Jan,colomboitacademy.online
sri lanka,2023,hacksl,,linkedin.com/company/hacksl,,hacksl,western,10-Jan,hacksl.tech
sri lanka,2023,gift-my-pair,individual & family services,linkedin.com/company/gift-my-pair,colombo,gift my pair,western,10-Jan,
sri lanka,2023,codva-it-solutions,,linkedin.com/company/codva-it-solutions,homagama,codva it solutions,western,10-Jan,codvaitsolutions.com
sri lanka,2023,blue-tag-by-mi,,linkedin.com/company/blue-tag-by-mi,kandy,blue tag by mi,central,10-Jan,
sri lanka,2023,long-rose-digital-marketing,,linkedin.com/company/long-rose-digital-marketing,panadura,long rose digital marketing,western,10-Jan,longrose.digital
sri lanka,2023,unwir,,linkedin.com/company/unwir,kottawa,unwir,western,10-Jan,unwir.dev
sri lanka,2023,floating-cherry,,linkedin.com/company/floating-cherry,colombo,floating cherry,western,10-Jan,
sri lanka,2023,loku-business,higher education,linkedin.com/company/loku-business,colombo,loku business,western,10-Jan,loku-business.teachable.com
sri lanka,2023,panam-innovations-pvt-ltd,,linkedin.com/company/panam-innovations-pvt-ltd,colombo,panam innovations (pvt) ltd,western,10-Jan,
sri lanka,2023,the-realtor-club,real estate,linkedin.com/company/the-realtor-club,colombo,the realtor club,western,10-Jan,
sri lanka,2023,digital-accounting-global-service-by-sasangi-chathurani-g-galappaththi,accounting,linkedin.com/company/digital-accounting-global-service-by-sasangi-chathurani-g-galappaththi,colombo,crystal clear acc-books consultancy (reg. no: wc22211),western,10-Jan,digitalaccountingglobalserviceentity.com.lk
sri lanka,2023,international-investment-chamber,financial services,linkedin.com/company/international-investment-chamber,colombo,iic-international investment chamber,western,10-Jan,iicsrilanka.com
sri lanka,2023,pixelcoreit,,linkedin.com/company/pixelcoreit,malabe,pixelcore it solutions,western,Nov-50,pixelcore.lk
sri lanka,2023,sri-properties-lk,real estate,linkedin.com/company/sri-properties-lk,colombo,sri properties.lk,western,10-Jan,
sri lanka,2023,fleeceorg,,linkedin.com/company/fleeceorg,,fleece,western,10-Jan,63ca67645a19b.site123.me
sri lanka,2023,optimiserltd,,linkedin.com/company/optimiserltd,colombo,optimiser,western,Nov-50,optimiser.ltd
sri lanka,2023,oops-concepts,,linkedin.com/company/oops-concepts,,oops concepts,western,10-Jan,
sri lanka,2023,effectude,,linkedin.com/company/effectude,,effectude global limited,western,Nov-50,effectude.com
sri lanka,2023,flawless-developers-solutions,,linkedin.com/company/flawless-developers-solutions,colombo,flawless developers & solutions,western,10-Jan,
sri lanka,2023,squad-mate,computer games,linkedin.com/company/squad-mate,athurugiriya,squadmate,western province,10-Jan,squad-mate-production.up.railway.app
sri lanka,2023,pixelrstudio,,linkedin.com/company/pixelrstudio,ratnapura,pixelr studio,sabaragamuwa,10-Jan,
sri lanka,2023,iconiqevents,events services,linkedin.com/company/iconiqevents,colombo,iconiq events,western,10-Jan,iconiq.events
sri lanka,2023,espritxcom,,linkedin.com/company/espritxcom,maharagama,esprit x,western,10-Jan,facebook.com/espritxcom
sri lanka,2023,brandingsrilanka,graphic design,linkedin.com/company/brandingsrilanka,colombo,branding sri lanka,western,10-Jan,brandingsrilanka.com
sri lanka,2023,vipcomputers,,linkedin.com/company/vipcomputers,anuradhapura,vip computers,north central,10-Jan,vipcomputers.lk
sri lanka,2023,panam-trading-pvt-ltd,,linkedin.com/company/panam-trading-pvt-ltd,colombo,panam trading (pvt) ltd,western,10-Jan,
sri lanka,2023,team-elite-2022,,linkedin.com/company/team-elite-2022,kurunegala,team elite devs,north western,10-Jan,
sri lanka,2023,filts,,linkedin.com/company/filts,nugegoda,filts,western,Nov-50,
sri lanka,2023,jeenj8,graphic design,linkedin.com/company/jeenj8,,jeen,,Nov-50,
sri lanka,2023,fameux-lk,,linkedin.com/company/fameux-lk,ja-ela,fameux,western,10-Jan,fameux.lk
sri lanka,2023,immigration-experts-private-limited,,linkedin.com/company/immigration-experts-private-limited,,immigration experts private limited,,Nov-50,immigrationexperts.lk
sri lanka,2023,futurescrape,,linkedin.com/company/futurescrape,kandy,future scrape,central,10-Jan,futurescrape.com
sri lanka,2023,sn-wedding-cars,facilities services,linkedin.com/company/sn-wedding-cars,piliyandala,sn wedding cars,western,10-Jan,
sri lanka,2023,rubeuz-explores,,linkedin.com/company/rubeuz-explores,,rubeuz explores,,10-Jan,rubeuz.com
sri lanka,2023,soanil-microgreens,,linkedin.com/company/soanil-microgreens,kandana,soanil microgreens,western,Nov-50,soanil.lk
sri lanka,2023,leonineit,,linkedin.com/company/leonineit,bandarawela,leonine,uva,10-Jan,
sri lanka,2023,kabayafashions,,linkedin.com/company/kabayafashions,colombo,kabaya,western,51-200,
sri lanka,2023,fourbitstechnologies,,linkedin.com/company/fourbitstechnologies,colombo,fourbits technologies,western,10-Jan,
sri lanka,2023,iinfinity-ai-developers,,linkedin.com/company/iinfinity-ai-developers,colombo,iinfinity ai | developers,western,10-Jan,iinfinityai.com
sri lanka,2023,logoanimationspot,,linkedin.com/company/logoanimationspot,kandy,logo animation spot,central,10-Jan,fiverr.com/share/dgr1en
sri lanka,2023,agniacademy,higher education,linkedin.com/company/agniacademy,ja-ela,agni academy,western,10-Jan,instagram.com/agni.academy
sri lanka,2023,falcon-maintenance-and-constructions,,linkedin.com/company/falcon-maintenance-and-constructions,,falcon maintenance and constructions,western,10-Jan,
sri lanka,2023,mpbc-school,higher education,linkedin.com/company/mpbc-school,rajagiriya,mpbc school of business,western province,Nov-50,mpbc.college
sri lanka,2023,chariot-tours-travels,,linkedin.com/company/chariot-tours-travels,kandy,chariot tours & travels,central,10-Jan,facebook.com/chariot.tt
